Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
285,Hakeem Olajuwon*,C,34,HOU,78,78,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7,9.2,3,1.5,2.2,3.6,3.2,23.2,1996-97,FALSE
286,Jimmy Oliver,SG,27,TOR,4,0,10.8,1,3.3,0.308,0.3,1.5,0.167,0.8,1.8,0.429,0.346,0.5,0.5,1,0.3,1,1.3,0.3,0.5,0,0.8,0.5,2.8,1996-97,FALSE
287,Greg Ostertag,C,23,UTA,77,70,23.6,2.7,5.3,0.515,0,0.1,0,2.7,5.2,0.52,0.515,1.8,2.7,0.678,2.3,5,7.3,0.4,0.3,2,1,3,7.3,1996-97,FALSE
288,Bo Outlaw,PF,25,LAC,82,25,26.8,3.1,5.1,0.609,0,0.1,0,3.1,5,0.621,0.609,1.4,2.8,0.504,2.1,3.4,5.5,1.9,1.1,1.7,1.3,2.8,7.6,1996-97,FALSE
289,Doug Overton,PG,27,PHI,61,4,10.4,1.3,3.1,0.426,0.2,0.7,0.25,1.2,2.5,0.473,0.453,0.7,0.8,0.938,0.3,0.8,1.1,1.7,0.4,0,0.6,0.7,3.6,1996-97,FALSE
290,Billy Owens,SF,27,SAC,66,56,30.2,4.5,9.7,0.467,0.4,1.1,0.347,4.2,8.6,0.482,0.487,1.5,2.2,0.697,2,3.9,5.9,2.8,0.9,0.4,2,2.8,11,1996-97,FALSE
291,Ray Owes,PF,24,GSW,57,1,10.4,1.3,3.2,0.417,0,0.1,0.2,1.3,3.1,0.423,0.419,0.5,0.8,0.565,1.1,1.7,2.9,0.3,0.3,0.4,0.4,1.5,3.1,1996-97,FALSE
292,Robert Pack,PG,27,TOT,54,42,33,5,12.8,0.392,0.6,2.1,0.277,4.5,10.8,0.415,0.415,3.6,4.5,0.807,0.5,2.2,2.7,8.4,1.7,0.1,4,2.6,14.3,1996-97,FALSE
292,Robert Pack,PG,27,NJN,34,31,34.9,5.7,13.9,0.407,0.6,2.2,0.297,5,11.8,0.428,0.43,3.9,5,0.788,0.4,2.1,2.5,9.6,1.7,0.1,4.4,2.4,15.9,1996-97,FALSE
292,Robert Pack,PG,27,DAL,20,11,29.9,4,11,0.361,0.5,1.9,0.237,3.5,9.1,0.387,0.381,3.1,3.7,0.849,0.7,2.4,3,6.4,1.8,0.2,3.4,2.8,11.5,1996-97,FALSE
293,Robert Parish*,C,43,CHI,43,3,9.4,1.6,3.3,0.49,0,0,,1.6,3.3,0.49,0.49,0.5,0.7,0.677,1,1.1,2.1,0.5,0.1,0.4,0.7,0.9,3.7,1996-97,FALSE
294,Cherokee Parks,PF,24,MIN,76,0,12.6,1.4,2.7,0.51,0,0,0,1.4,2.6,0.512,0.51,0.6,1,0.605,1.1,1.5,2.6,0.4,0.5,0.6,0.4,2,3.3,1996-97,FALSE
295,Gary Payton*,PG,28,SEA,82,82,39.2,8.6,18.1,0.476,1.5,4.6,0.313,7.2,13.4,0.533,0.517,3.1,4.3,0.715,1.3,3.3,4.6,7.1,2.4,0.2,2.6,2.5,21.8,1996-97,FALSE
296,Anthony Peeler,SG,27,VAN,72,57,31.8,5.6,14,0.398,1.8,4.8,0.373,3.8,9.3,0.41,0.461,1.5,1.8,0.82,0.8,2.7,3.4,3.6,1.5,0.2,2.2,2.3,14.5,1996-97,FALSE
297,Will Perdue,C,31,SAS,65,34,29.5,3.6,6.3,0.568,0,0,,3.6,6.3,0.568,0.568,1.5,2.6,0.579,3.9,6,9.8,0.6,0.5,1.6,1.3,2.8,8.7,1996-97,FALSE
298,Sam Perkins,C,35,SEA,81,4,24.4,3.6,8.2,0.439,1.5,3.8,0.395,2.1,4.3,0.477,0.531,2.3,2.8,0.817,0.9,2.8,3.7,1.3,0.9,0.6,1,1.7,11,1996-97,FALSE
299,Elliot Perry,PG,27,MIL,82,3,19.5,2.6,5.6,0.474,0.6,1.7,0.358,2,3.9,0.523,0.527,1,1.3,0.745,0.3,1.2,1.5,3,1.2,0,1.4,1.4,6.9,1996-97,FALSE
300,Wesley Person,SG,25,PHO,80,42,29.1,5.1,11.3,0.453,2.1,5.2,0.413,3,6.1,0.487,0.548,1.1,1.4,0.798,0.9,2.8,3.7,1.5,1.1,0.3,1,1.3,13.5,1996-97,FALSE
301,Bobby Phills,SG,27,CLE,69,65,34.4,4.8,11.1,0.428,1.2,3.1,0.394,3.5,8,0.442,0.484,1.8,2.5,0.718,0.9,2.6,3.6,3.4,1.6,0.3,2,2.5,12.6,1996-97,FALSE
302,Eric Piatkowski,SG,26,LAC,65,0,11.5,2.1,4.6,0.45,0.8,1.8,0.425,1.3,2.7,0.466,0.535,1.1,1.3,0.821,0.8,0.9,1.6,0.8,0.5,0.2,0.7,1.3,6,1996-97,FALSE
303,Ricky Pierce,SG,37,TOT,60,27,20.8,4,8.3,0.481,0.7,1.6,0.442,3.3,6.7,0.49,0.523,2.3,2.6,0.897,0.6,1.4,2,1.3,0.5,0.2,1.1,1.6,11,1996-97,FALSE
303,Ricky Pierce,SG,37,DEN,33,10,18.2,3.6,7.9,0.462,0.4,1.2,0.308,3.3,6.7,0.489,0.485,2.5,2.8,0.902,0.5,1.1,1.6,0.9,0.4,0.2,1.2,1.5,10.2,1996-97,FALSE
303,Ricky Pierce,SG,37,CHH,27,17,24.1,4.4,8.8,0.502,1.1,2.1,0.536,3.3,6.7,0.492,0.565,2.1,2.3,0.889,0.7,1.8,2.5,1.8,0.5,0.1,1.1,1.8,12,1996-97,FALSE
304,Ed Pinckney,PF,33,MIA,27,0,10.1,0.9,1.6,0.535,0,0,,0.9,1.6,0.535,0.535,0.7,0.9,0.8,0.9,1.5,2.4,0.2,0.3,0.3,0.7,1.1,2.4,1996-97,FALSE
305,Scottie Pippen*,SF,31,CHI,82,82,37.7,7.9,16.7,0.474,1.9,5.2,0.368,6,11.5,0.522,0.531,2.5,3.5,0.701,2,4.5,6.5,5.7,1.9,0.5,2.6,2.6,20.2,1996-97,FALSE
306,Olden Polynice,C,32,SAC,82,82,35.3,5.4,11.8,0.457,0,0.1,0,5.4,11.7,0.46,0.457,1.7,3.1,0.562,3.3,6.1,9.4,2.2,0.6,1,2,3.6,12.5,1996-97,FALSE
307,Terry Porter,PG,33,MIN,82,20,19.1,2.3,5.5,0.416,0.8,2.4,0.335,1.5,3,0.482,0.491,1.5,2,0.765,0.4,1.8,2.1,3.6,0.7,0.1,1.6,1.3,6.9,1996-97,FALSE
308,Vitaly Potapenko,C,21,CLE,80,3,15.5,2.3,5.3,0.44,0,0,0.5,2.3,5.3,0.439,0.441,1.2,1.6,0.736,1.3,1.4,2.7,0.5,0.3,0.4,1.4,2.7,5.8,1996-97,FALSE
309,Brent Price,PG,28,HOU,25,0,15.6,1.8,4.2,0.419,0.7,2.1,0.321,1.1,2.1,0.519,0.5,0.8,0.8,1,0.4,0.8,1.2,2.6,0.7,0,1.3,1.4,5,1996-97,FALSE
310,Mark Price,PG,32,GSW,70,49,26.8,3.8,8.4,0.447,1.6,4,0.396,2.2,4.4,0.493,0.542,2.2,2.4,0.906,0.5,2,2.6,4.9,1,0,2.3,1.4,11.3,1996-97,FALSE
311,Theo Ratliff,C,23,DET,76,38,17,2.4,4.4,0.531,0,0,,2.4,4.4,0.531,0.531,1.1,1.5,0.698,1.4,1.9,3.4,0.2,0.4,1.5,0.7,2.4,5.8,1996-97,FALSE
312,Dino Radja*,C,29,BOS,25,25,35,6,13.6,0.44,0,0,0,6,13.5,0.441,0.44,2,2.8,0.718,1.8,6.7,8.4,1.9,0.9,1.9,2.8,3,14,1996-97,FALSE
313,Eldridge Recasner,SG,29,ATL,71,4,17,2.1,4.9,0.423,0.8,2,0.414,1.3,3,0.429,0.506,0.7,0.8,0.879,0.5,1.1,1.6,1.3,0.5,0.1,0.9,1.4,5.7,1996-97,FALSE
314,Bryant Reeves,C,23,VAN,75,75,37,6.6,13.7,0.486,0,0.1,0.091,6.6,13.5,0.49,0.486,2.9,4.1,0.704,2.3,5.8,8.1,2.1,0.4,0.9,2.3,3.6,16.2,1996-97,FALSE
315,Khalid Reeves,PG,24,TOT,63,30,22.7,2.9,7.5,0.391,1.3,3.6,0.366,1.6,3.9,0.416,0.48,1,1.4,0.747,0.5,1.3,1.9,3.6,0.5,0.1,1.7,2.5,8.2,1996-97,FALSE
315,Khalid Reeves,PG,24,NJN,50,18,21,2.8,7.2,0.393,1.5,3.8,0.396,1.3,3.3,0.389,0.499,1.1,1.5,0.747,0.4,1.3,1.8,3.4,0.5,0.1,1.6,2.4,8.3,1996-97,FALSE
315,Khalid Reeves,PG,24,DAL,13,12,29.5,3.3,8.5,0.387,0.5,2.7,0.2,2.8,5.8,0.474,0.419,0.7,0.9,0.75,0.9,1.5,2.4,4.3,0.8,0.2,2,3.1,7.8,1996-97,FALSE
316,Don Reid,PF,23,DET,47,14,9.8,1.1,2.4,0.482,0,0,0,1.1,2.4,0.486,0.482,0.5,0.7,0.75,0.8,1.4,2.1,0.3,0.3,0.3,0.5,2.2,2.8,1996-97,FALSE
317,Shawn Respert,SG,24,TOT,41,0,12.1,1.4,3.4,0.424,0.5,1.4,0.351,1,2,0.476,0.496,0.8,1,0.872,0.3,0.6,1,1,0.5,0,0.7,1,4.2,1996-97,FALSE
317,Shawn Respert,SG,24,MIL,14,0,5.9,0.4,1.4,0.316,0.1,0.6,0.111,0.4,0.7,0.5,0.342,0.5,0.5,1,0.2,0.3,0.5,0.6,0,0,0.6,0.4,1.4,1996-97,FALSE
317,Shawn Respert,SG,24,TOR,27,0,15.3,2,4.4,0.442,0.7,1.8,0.396,1.3,2.7,0.472,0.521,1,1.2,0.844,0.4,0.8,1.2,1.2,0.7,0.1,0.8,1.3,5.6,1996-97,FALSE
318,Glen Rice,SF,29,CHH,79,78,42.6,9.1,19.2,0.477,2.6,5.6,0.47,6.5,13.6,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4,2,0.9,0.3,2.2,2.4,26.8,1996-97,FALSE
319,Pooh Richardson,PG,30,LAC,59,18,18.1,2.2,5.8,0.381,0.7,2.2,0.328,1.5,3.7,0.412,0.442,0.4,0.7,0.605,0.4,1.2,1.7,2.9,0.9,0.1,1.1,1.4,5.6,1996-97,FALSE
320,Mitch Richmond*,SG,31,SAC,81,81,38.6,8.9,19.5,0.454,2.5,5.9,0.428,6.3,13.6,0.466,0.519,5.6,6.6,0.861,0.7,3.2,3.9,4.2,1.5,0.3,2.9,2.6,25.9,1996-97,FALSE
321,Isaiah Rider,SG,25,POR,76,68,33.7,6,12.9,0.464,1.3,3.4,0.385,4.7,9.6,0.492,0.514,2.8,3.4,0.812,1.2,2.8,4,2.6,0.6,0.3,2.8,2.6,16.1,1996-97,FALSE
322,Fred Roberts,PF,36,DAL,12,0,3.3,0.5,1.3,0.4,0,0,,0.5,1.3,0.4,0.4,0.8,1.2,0.714,0.2,0.7,0.8,0,0,0.1,0.4,0.2,1.8,1996-97,FALSE
323,Stanley Roberts,C,26,LAC,18,2,21,3.5,8.2,0.426,0,0,,3.5,8.2,0.426,0.426,2.5,3.6,0.703,1.3,3.7,5.1,0.5,0.4,1.3,1.3,3.2,9.5,1996-97,FALSE
324,Chris Robinson,SG,22,VAN,41,6,16.6,1.7,4.4,0.379,0.8,2.2,0.382,0.9,2.3,0.376,0.473,0.4,0.6,0.615,0.6,1.2,1.7,1.6,0.7,0.2,0.8,2.1,4.6,1996-97,FALSE
325,Clifford Robinson,SF,30,POR,81,79,38,5.5,12.9,0.426,1.5,4.3,0.346,4,8.6,0.466,0.484,2.7,3.8,0.696,1.1,2.9,4,3.2,1.2,0.8,2.1,3.1,15.1,1996-97,FALSE
326,David Robinson*,C,31,SAS,6,6,24.5,6,12,0.5,0,0,,6,12,0.5,0.5,5.7,8.7,0.654,3.2,5.3,8.5,1.3,1,1,1.3,1.5,17.7,1996-97,FALSE
327,Glenn Robinson,SF,24,MIL,80,79,38.9,8.4,18,0.465,0.8,2.3,0.35,7.6,15.7,0.482,0.487,3.6,4.6,0.791,1.6,4.7,6.3,3.1,1.3,0.9,3.4,2.8,21.1,1996-97,FALSE
328,James Robinson,PG,26,MIN,69,5,19,2.8,7,0.407,1.5,3.9,0.382,1.4,3.1,0.437,0.512,1.1,1.7,0.684,0.3,1.3,1.6,1.8,0.4,0.1,1,1.8,8.3,1996-97,FALSE
329,Rumeal Robinson,PG,30,TOT,54,3,9.4,1.2,3,0.402,0.3,1,0.321,0.9,2,0.444,0.457,0.5,0.6,0.743,0.1,0.8,0.9,1.4,0.4,0,0.8,1.1,3.3,1996-97,FALSE
329,Rumeal Robinson,PG,30,LAL,15,3,8.4,1.1,3.2,0.354,0.4,1.5,0.261,0.7,1.7,0.44,0.417,0.3,0.5,0.625,0.1,0.5,0.7,0.9,0.3,0.1,0.7,0.8,3,1996-97,FALSE
329,Rumeal Robinson,PG,30,PHO,12,0,7.3,1.3,2.8,0.471,0.3,0.8,0.3,1.1,2,0.542,0.515,0.1,0.3,0.25,0.1,0.5,0.6,0.7,0.1,0,0.4,0.7,3,1996-97,FALSE
329,Rumeal Robinson,PG,30,POR,27,0,10.9,1.2,3,0.402,0.3,0.9,0.391,0.9,2.2,0.407,0.457,0.7,0.9,0.87,0.1,1,1.1,1.9,0.7,0,1,1.5,3.5,1996-97,FALSE
330,Dennis Rodman*,PF,35,CHI,55,54,35.4,2.3,5.2,0.448,0.1,0.3,0.263,2.2,4.9,0.461,0.456,0.9,1.6,0.568,5.8,10.2,16.1,3.1,0.6,0.3,2,3.1,5.7,1996-97,FALSE
331,Lou Roe,SF,24,GSW,17,0,6.3,0.8,2.8,0.292,0.2,0.6,0.273,0.6,2.2,0.297,0.323,0.5,1.1,0.474,0.4,0.4,0.8,0.4,0.2,0.1,0.6,0.6,2.4,1996-97,FALSE
332,Carlos Rogers,PF,25,TOR,56,3,24.9,3.8,7.2,0.525,0.4,1.2,0.379,3.3,6,0.553,0.556,1.8,3,0.6,2.1,3.3,5.4,0.7,0.8,1.2,0.9,2.5,9.8,1996-97,FALSE
333,Rodney Rogers,SF,25,LAC,81,62,30.6,5,10.9,0.462,0.8,2.2,0.361,4.2,8.7,0.487,0.498,2.4,3.6,0.663,1.7,3.4,5.1,2.7,1.1,0.8,2.7,3.4,13.2,1996-97,FALSE
334,Roy Rogers,PF,23,VAN,82,50,22.5,3,5.9,0.505,0,0,1,3,5.9,0.504,0.506,0.7,1.1,0.574,1.7,3,4.7,0.6,0.3,2,1,2.6,6.6,1996-97,FALSE
335,Sean Rooks,C,27,LAL,69,3,10.7,1.3,2.7,0.47,0,0,0,1.3,2.7,0.473,0.47,1.3,1.9,0.7,0.8,1.6,2.4,0.6,0.2,0.6,0.7,1.8,3.8,1996-97,FALSE
336,Jalen Rose,SF,24,IND,66,6,18,2.6,5.7,0.456,0.3,1.1,0.292,2.3,4.6,0.495,0.484,1.8,2.4,0.75,0.4,1.4,1.8,2.3,0.9,0.3,1.6,2.1,7.3,1996-97,FALSE
337,Malik Rose,PF,22,CHH,54,1,9.7,1.1,2.4,0.477,0,0,0,1.1,2.3,0.484,0.477,0.7,1.1,0.613,1.3,1.7,3,0.6,0.5,0.3,0.8,2.1,3,1996-97,FALSE
338,Donald Royal,SF,30,TOT,62,4,13.8,1,2.4,0.425,0,0,0,1,2.3,0.431,0.425,1.5,1.9,0.803,0.8,1.6,2.5,0.4,0.4,0.2,0.8,1.6,3.5,1996-97,FALSE
338,Donald Royal,SF,30,ORL,1,1,29,4,10,0.4,0,0,,4,10,0.4,0.4,4,4,1,1,0,1,1,0,0,3,3,12,1996-97,FALSE
338,Donald Royal,SF,30,GSW,36,1,14.1,1,2.7,0.385,0,0.1,0,1,2.6,0.394,0.385,1.7,2.2,0.795,0.9,1.7,2.6,0.4,0.3,0.3,0.6,1.5,3.8,1996-97,FALSE
338,Donald Royal,SF,30,CHH,25,2,12.8,0.8,1.6,0.525,0,0,,0.8,1.6,0.525,0.525,1.1,1.4,0.8,0.7,1.6,2.3,0.4,0.5,0.1,0.9,1.7,2.8,1996-97,FALSE
339,Clifford Rozier,C,24,TOT,42,29,17.5,1.9,4.1,0.454,0,0,0,1.9,4.1,0.459,0.454,0.7,1.5,0.508,2.4,3.1,5.6,0.7,0.6,1,0.7,2.3,4.5,1996-97,FALSE
339,Clifford Rozier,C,24,GSW,1,0,5,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,1996-97,FALSE
339,Clifford Rozier,C,24,TOR,41,29,17.9,1.9,4.2,0.457,0,0,0,1.9,4.2,0.462,0.457,0.8,1.5,0.508,2.5,3.2,5.7,0.8,0.6,1.1,0.7,2.4,4.6,1996-97,FALSE
340,Bryon Russell,SF,26,UTA,81,81,31.2,3.7,7.7,0.479,1.3,3.3,0.409,2.3,4.4,0.531,0.566,2.1,3,0.701,1,3.1,4.1,1.5,1.6,0.3,1.2,2.9,10.8,1996-97,FALSE
341,Arvydas Sabonis*,C,32,POR,69,68,25.5,4.8,9.5,0.498,0.7,1.9,0.371,4,7.6,0.53,0.536,3.2,4.2,0.777,1.7,6.3,7.9,2.1,0.9,1.2,2.2,2.9,13.4,1996-97,FALSE
342,Kevin Salvadori,C,26,SAC,23,0,6.7,0.5,1.4,0.364,0,0,,0.5,1.4,0.364,0.364,0.6,0.8,0.722,0.3,0.8,1.1,0.4,0.1,0.6,0.5,0.7,1.6,1996-97,FALSE
343,Jason Sasser,SF,23,TOT,8,0,8.6,1.1,2.9,0.391,0.1,0.4,0.333,1,2.5,0.4,0.413,0,0,,0.1,0.9,1,0.3,0.4,0,0.3,1.4,2.4,1996-97,FALSE
343,Jason Sasser,SF,23,SAS,6,0,10.3,1.3,3.2,0.421,0.2,0.3,0.5,1.2,2.8,0.412,0.447,0,0,,0,1.2,1.2,0.2,0.3,0,0.3,1.8,2.8,1996-97,FALSE
343,Jason Sasser,SF,23,DAL,2,0,3.5,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0.25,0,0,,0.5,0,0.5,0.5,0.5,0,0,0,1,1996-97,FALSE
344,Danny Schayes,PF,37,ORL,45,6,12,1,2.7,0.392,0,0,0,1,2.6,0.395,0.392,0.9,1.2,0.75,0.9,1.9,2.8,0.3,0.3,0.4,0.6,1.6,3,1996-97,FALSE
345,Steve Scheffler,C,29,SEA,7,0,4.1,0.9,1,0.857,0,0,,0.9,1,0.857,0.857,0.1,0.3,0.5,0.1,0.3,0.4,0,0,0,0.7,0.7,1.9,1996-97,FALSE
346,Dwayne Schintzius,C,28,LAC,15,0,7.7,0.9,2.4,0.361,0.1,0.1,0.5,0.8,2.3,0.353,0.375,0.5,0.5,0.875,0.6,0.9,1.5,0.3,0.1,0.6,0.5,1.5,2.3,1996-97,FALSE
347,Detlef Schrempf,SF,34,SEA,61,60,35.9,5.8,11.9,0.492,0.9,2.6,0.354,4.9,9.2,0.531,0.531,4.1,5.2,0.801,1.4,5,6.5,4.4,1,0.3,2.5,2.5,16.8,1996-97,FALSE
348,Brent Scott,PF,25,IND,16,0,3.4,0.5,1.1,0.471,0,0,,0.5,1.1,0.471,0.471,0.2,0.4,0.5,0.2,0.4,0.6,0.2,0.1,0.1,0.3,0.9,1.2,1996-97,FALSE
349,Byron Scott,SG,35,LAL,79,8,18.2,2.1,4.8,0.43,0.9,2.4,0.388,1.1,2.4,0.471,0.526,1.6,1.9,0.841,0.3,1.2,1.5,1.3,0.6,0.2,0.7,0.9,6.7,1996-97,FALSE
350,Dennis Scott,SF,28,ORL,66,62,32.8,4.5,11.3,0.398,2.2,5.7,0.394,2.3,5.7,0.402,0.496,1.2,1.5,0.792,0.6,2.5,3.1,2.1,1.1,0.3,1.2,2.1,12.5,1996-97,FALSE
351,James Scott,SF,24,MIA,8,0,4,0,1,0,0,0.5,0,0,0.5,0,0,0.1,0.3,0.5,0.1,0.6,0.8,0.4,0.3,0,0.3,0.6,0.1,1996-97,FALSE
352,Shawnelle Scott,C,24,CLE,16,0,3.1,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.3,0.7,0.364,0.5,0.5,1,0,0,0.2,0,0.4,1.3,1996-97,FALSE
353,Malik Sealy,SG,26,LAC,80,79,30.7,4.7,11.8,0.396,1,2.8,0.356,3.7,9,0.408,0.438,3.2,3.6,0.876,0.7,2.2,3,2.1,1.6,0.6,1.9,2.3,13.5,1996-97,FALSE
354,Rony Seikaly,C,31,ORL,74,68,35.3,6.2,12.3,0.507,0,0,0,6.2,12.2,0.509,0.507,4.8,6.8,0.714,3.7,5.8,9.5,1.2,0.7,1.4,2.9,3.7,17.3,1996-97,FALSE
355,Brian Shaw,PG,30,ORL,77,31,24.2,2.5,6.7,0.366,0.8,2.5,0.325,1.6,4.2,0.391,0.427,1.4,1.8,0.793,0.6,1.9,2.5,4.1,0.9,0.3,2.2,2.6,7.2,1996-97,FALSE
356,Lionel Simmons,SF,28,SAC,41,0,12.7,1.1,3.3,0.331,0.2,0.7,0.233,0.9,2.6,0.358,0.357,1,1.2,0.875,0.7,1.8,2.5,1.4,0.2,0.3,0.8,1.5,3.4,1996-97,FALSE
357,Dickey Simpkins,PF,24,CHI,48,0,8.2,0.6,1.9,0.333,0,0.1,0.25,0.6,1.9,0.337,0.339,0.6,0.8,0.7,0.8,1.2,1.9,0.6,0.1,0.1,0.7,0.9,1.9,1996-97,FALSE
358,Reggie Slater,PF,26,TOR,26,0,15.6,3.2,5.7,0.55,0,0.1,0,3.2,5.7,0.558,0.55,1.5,2.9,0.52,1.5,2.1,3.7,0.8,0.3,0.2,1.1,1.3,7.8,1996-97,FALSE
359,Charles Smith,PF,31,SAS,19,7,17.3,1.8,4.4,0.405,0,0.1,0,1.8,4.4,0.41,0.405,1.1,1.4,0.769,0.9,2.5,3.4,0.7,0.7,1.2,1.2,2.3,4.6,1996-97,FALSE
360,Joe Smith,PF,21,GSW,80,80,38.6,7.3,16.2,0.454,0.2,0.6,0.261,7.2,15.6,0.461,0.459,3.8,4.7,0.814,3.3,5.2,8.5,1.6,0.9,1.1,2.4,3.1,18.7,1996-97,FALSE
361,Kenny Smith,PG,31,TOT,48,3,15.9,2.1,5,0.423,1.2,2.8,0.437,0.9,2.2,0.404,0.546,0.8,0.9,0.867,0.1,0.8,0.9,2.4,0.4,0,1.5,0.6,6.3,1996-97,FALSE
